geocode,asian,black,mixed,other,white
E00111203,10,0,5,0,273
E00111204,2,0,2,0,222
E00111205,1,2,2,0,267
E00111206,2,0,3,0,397
E00111207,3,2,5,0,262
E00111208,19,1,1,1,246
E00111209,5,2,7,3,248
E00111210,0,2,6,0,390
E00111211,1,0,0,0,389
E00111212,8,0,1,0,408
E00111213,0,0,1,0,316
E00111214,1,0,1,0,250
E00111215,1,0,2,0,296
E00111216,24,0,9,0,402
E00111217,0,1,2,0,256
E00111218,5,4,6,1,291
E00111219,5,0,4,1,329
E00111220,6,3,2,1,294
E00111221,5,1,2,0,288
E00111222,8,0,2,0,312
E00111223,1,0,1,3,320
E00111224,12,0,0,0,282
E00111225,3,0,3,1,301
E00111226,0,0,3,0,284
E00111227,4,1,1,0,293
E00111228,4,0,1,0,314
E00111229,1,0,0,0,217
E00111230,0,0,2,0,373
E00111231,2,0,4,0,339
E00111232,8,0,4,0,221
E00111233,0,0,1,0,286
E00111234,1,1,1,0,162
E00111247,7,0,6,0,328
E00111248,2,0,4,2,353
E00111249,0,6,3,2,386
E00111250,0,0,4,0,427
E00111251,0,1,7,0,396
E00111252,1,0,6,1,275
E00111253,1,0,3,0,274
E00111255,3,0,1,0,274
E00111256,0,0,0,0,243
E00111257,2,0,0,0,212
E00111298,0,0,0,0,161
E00111299,5,0,4,0,161
E00111300,1,0,2,0,164
E00111301,7,6,4,0,320
E00111302,1,2,6,0,164
E00111303,0,0,0,0,257
E00111304,0,0,0,0,304
E00111305,1,0,2,1,313
E00111306,0,0,1,0,192
E00111307,0,0,0,0,248
E00111308,0,0,0,2,317
E00111309,1,7,1,0,313
E00111310,2,2,2,0,268
E00111311,0,0,2,0,256
E00111314,0,0,5,0,284
E00111449,16,2,6,0,339
E00111450,3,0,2,0,333
E00111451,3,0,1,0,327
E00111454,0,0,0,0,186
E00111455,0,0,2,0,156
E00111456,1,0,1,0,288
E00111457,0,1,2,0,314
E00111458,0,0,0,0,153
E00111459,1,0,6,0,354
E00111460,0,0,1,0,292
E00111461,0,0,3,0,273
E00111462,2,0,0,0,242
E00111463,0,0,0,0,243
E00111464,0,1,4,1,348
E00111465,0,0,0,0,322
E00111466,1,3,6,1,342
E00111467,2,2,1,0,289
E00111468,1,0,0,0,362
E00111469,4,0,0,0,297
E00111470,1,0,1,0,332
E00112073,1,0,2,0,381
E00112074,2,2,9,3,354
E00170068,1,13,3,0,295
E00170973,10,0,8,1,241
E00170974,37,7,11,3,212
E00170975,11,3,5,1,181
E00170976,16,4,5,0,269
E00170977,13,2,9,2,217
E00170978,16,1,6,1,317
E00170979,14,20,10,3,278
E00170980,47,80,13,3,395
E00170981,12,4,7,3,132
E00170982,5,4,6,2,137
E00170983,29,9,14,10,291
E00170984,16,3,8,0,318
E00170985,44,21,13,30,173
E00170986,31,6,8,12,178
E00170987,12,1,4,0,193
E00170988,29,11,2,0,137
E00170989,2,6,9,0,425
E00170990,2,7,8,0,254
E00170991,26,0,10,0,324
E00170992,4,1,9,1,363
E00170993,2,6,3,0,226
E00170994,5,0,6,0,181
E00170995,2,1,6,0,319
E00170996,7,0,11,0,416
E00170997,26,6,5,14,105
E00170998,6,3,12,0,332
E00170999,25,13,14,4,297
E00171000,22,8,10,1,324
E00171001,13,7,7,1,237
E00171002,23,10,7,7,334
E00171003,20,19,20,4,300
E00171004,14,2,12,5,341
E00171005,13,4,4,0,332
E00171006,43,8,6,0,324
E00171007,17,0,5,1,180
E00171008,9,2,8,1,247
E00171009,9,3,2,1,375
E00171010,4,0,2,1,362
E00171011,10,4,0,0,268
E00171012,16,16,9,3,304
E00171013,3,1,6,1,301
E00171014,31,7,3,1,307
E00173958,10,12,7,0,237
E00173959,1,6,3,0,263
E00173960,2,3,13,0,255
E00173961,4,7,8,0,266
E00173962,12,4,11,1,325
E00173963,2,0,2,1,329
E00173964,16,11,8,0,265
E00173965,12,0,0,0,89
E00173966,14,2,4,0,259
E00173993,6,2,5,0,291
E00173994,4,5,9,0,251
E00173995,13,6,11,1,268
E00173998,3,10,6,1,263
