geocode,bicycle,bus,car_van,foot,home,moto,other,taxi,train_metro
E01022857,18,13,565,31,34,23,9,0,36
E01022858,6,1,372,60,76,4,3,4,43
E01022859,10,2,674,34,124,1,8,4,44
E01022860,13,14,527,75,76,2,10,2,118
E01022861,29,7,615,72,62,5,5,1,77
E01022862,16,32,738,153,68,10,5,2,100
E01022863,12,0,528,50,78,3,7,1,51
E01022864,15,5,456,34,43,5,4,0,44
E01022865,23,0,568,54,76,8,5,1,72
E01022867,13,9,674,57,58,9,7,0,112
E01022868,20,6,585,25,89,2,3,2,105
E01022869,25,2,560,40,66,4,2,3,55
E01022870,12,4,441,37,72,7,5,0,99
E01022871,21,14,556,57,58,4,5,4,62
E01022872,19,18,661,64,70,2,3,0,67
E01022873,16,8,563,70,102,4,5,0,77
E01022874,14,32,584,35,29,7,5,2,28
E01022875,15,28,608,42,31,6,3,1,15
E01022876,7,17,592,27,42,5,3,0,34
E01022877,17,8,627,26,46,7,2,2,32
E01022878,10,1,566,57,88,2,5,1,80
E01022879,15,9,559,65,88,3,7,2,63
E01022880,14,5,560,48,65,6,6,2,78
E01022881,19,13,875,99,99,9,4,1,118
E01022882,6,3,586,76,93,1,5,2,79
E01022883,8,8,501,46,68,5,4,1,92
E01022884,9,3,560,63,78,1,14,2,79
E01022885,13,3,598,64,80,9,6,1,86
E01022887,10,4,507,24,106,6,8,1,83
E01022888,15,13,568,83,88,4,2,1,61
E01022889,14,13,521,78,57,3,2,1,46
E01022890,13,18,535,51,39,9,1,2,23
E01022891,23,12,741,55,83,5,3,3,50
E01022892,14,12,751,52,72,7,11,1,29
E01022893,12,17,694,32,54,6,1,1,33
E01022894,15,15,647,28,57,5,6,1,27
E01022895,17,17,838,73,56,5,3,1,38
E01022896,7,16,743,41,53,4,6,2,45
E01022897,8,16,836,43,66,7,3,0,32
E01022898,14,11,714,39,54,8,1,2,30
E01023091,25,38,534,98,23,7,0,6,46
E01023092,15,12,718,27,57,4,2,2,64
E01023093,22,8,659,43,41,5,3,1,49
E01023094,21,14,571,66,27,5,6,1,47
E01023095,29,32,639,130,36,11,9,2,75
E01023096,24,39,729,124,57,5,11,0,172
E01023097,23,16,545,50,46,9,4,1,109
E01023098,19,32,568,102,55,5,3,0,103
E01023099,15,35,541,60,27,8,8,3,43
E01023100,23,40,559,42,29,10,5,1,39
E01023101,19,20,581,27,49,9,1,1,25
E01023102,17,13,613,34,44,13,4,2,36
E01023103,17,30,665,77,37,6,3,1,99
E01023104,20,57,603,75,24,7,4,4,61
E01023105,26,59,525,52,25,11,7,2,39
E01023106,21,64,541,49,10,9,7,5,24
E01023107,22,36,497,50,22,6,2,0,30
E01023108,20,32,411,77,17,7,2,4,16
E01023109,11,27,644,65,32,4,8,7,60
E01023110,28,28,675,97,30,8,1,7,28
E01023111,16,18,649,60,79,5,8,1,108
E01023112,10,10,577,43,28,8,4,2,67
E01023113,24,22,576,100,55,2,4,3,77
E01023114,29,15,612,46,46,8,4,3,65
E01023115,12,16,546,65,36,6,3,6,54
E01023116,23,52,683,118,44,14,7,2,107
E01023117,19,18,815,58,41,9,7,4,66
E01023118,19,55,681,124,33,1,9,5,80
E01023119,30,49,354,71,8,7,5,4,30
E01023120,17,71,598,109,16,7,8,6,49
E01023121,24,51,827,59,29,8,2,4,51
E01023122,21,60,541,76,11,8,4,1,43
E01023123,16,36,645,65,22,8,10,6,37
E01023124,7,29,583,66,16,8,5,5,47
E01023125,21,37,1099,79,48,10,12,11,75
E01023128,13,24,531,67,15,5,8,2,29
E01023129,12,39,512,85,25,6,5,2,52
E01023130,11,22,571,49,49,7,6,1,42
E01023131,7,24,484,63,47,3,5,2,48
